id,code,name,start_date
waybill_producto_stcc_300,29914,Coque producido a partir del carbon,2021-06-01
waybill_producto_stcc_301,30,Productos de caucho y plastico,2021-06-01
waybill_producto_stcc_302,301,Neumaticos y camaras de aire,2021-06-01
waybill_producto_stcc_303,302,Calzado de caucho y plastico,2021-06-01
waybill_producto_stcc_304,303,Caucho recuperado,2021-06-01
waybill_producto_stcc_305,304,Mangueras y correas de caucho y plastico,2021-06-01
waybill_producto_stcc_306,306,Caucho fabricado miscelaneo,2021-06-01
waybill_producto_stcc_307,307,Productos diversos de plastico,2021-06-01
waybill_producto_stcc_308,31,Cuero y productos de cuero,2021-06-01
waybill_producto_stcc_309,311,Cuero,2021-06-01
waybill_producto_stcc_310,312,Cinturones de cuero industriales,2021-06-01
waybill_producto_stcc_311,313,Stock de corte de bota y zapato,2021-06-01
waybill_producto_stcc_312,314,"Calzado, excepto caucho o plastico",2021-06-01
waybill_producto_stcc_313,315,Guantes y manoplas de cuero,2021-06-01
waybill_producto_stcc_314,316,"Equipaje, bolsos",2021-06-01
waybill_producto_stcc_315,319,Marroquineria miscelanea,2021-06-01
waybill_producto_stcc_316,32,"Productos de piedra, arcilla y vidrio",2021-06-01
waybill_producto_stcc_317,321,Vidrio plano,2021-06-01
waybill_producto_stcc_318,322,Vidrio y cristaleria,2021-06-01
waybill_producto_stcc_319,3221,Contenedores de vidrio,2021-06-01
waybill_producto_stcc_320,324,Cemento hidraulico,2021-06-01
waybill_producto_stcc_321,32411,"Cemento, hydlc, portland, nat",2021-06-01
waybill_producto_stcc_322,325,Productos de arcilla estructural,2021-06-01
waybill_producto_stcc_323,3251,Ladrillos y teja de arcilla estructural,2021-06-01
waybill_producto_stcc_324,32511,"Ladrillos y bloques, arcilla y pizarra",2021-06-01
waybill_producto_stcc_325,3253,Baldosas y baldosas de ceramica,2021-06-01
waybill_producto_stcc_326,3255,"Refractarios, arcilla y no arcilla.",2021-06-01
waybill_producto_stcc_327,3259,Productos miscelaneos de arcilla estructural,2021-06-01
waybill_producto_stcc_328,32594,Teja de arcilla,2021-06-01
waybill_producto_stcc_329,326,Ceramica y productos relacionados,2021-06-01
waybill_producto_stcc_330,327,"Hormigon, yeso y yeso prd",2021-06-01
waybill_producto_stcc_331,3271,Prd de hormigon,2021-06-01
waybill_producto_stcc_332,3274,Yeso de cal y cal,2021-06-01
waybill_producto_stcc_333,3275,Productos de yeso,2021-06-01
waybill_producto_stcc_334,328,Cortar piedra y productos de piedra,2021-06-01
waybill_producto_stcc_335,329,"Abrasivos, amianto y miscelaneas",2021-06-01
waybill_producto_stcc_336,3291,Productos abrasivos,2021-06-01
waybill_producto_stcc_337,3295,Tierras o minerales no metidos,2021-06-01
waybill_producto_stcc_338,33,Productos de metales primarios,2021-06-01
waybill_producto_stcc_339,331,Acerias y laminacion prd,2021-06-01
waybill_producto_stcc_340,33111,Arrabio,2021-06-01
waybill_producto_stcc_341,33112,Escoria de horno,2021-06-01
waybill_producto_stcc_342,33119,Horno de coque y blast furn prd,2021-06-01
waybill_producto_stcc_343,3312,Prd de hierro y acero primario,2021-06-01
waybill_producto_stcc_344,33121,Lingote de acero y semiacabado,2021-06-01
waybill_producto_stcc_345,3313,Prd electrometalurgico,2021-06-01
waybill_producto_stcc_346,3315,"Alambre de acero, clavos y puas",2021-06-01
waybill_producto_stcc_347,332,Fundiciones de hierro y acero,2021-06-01
waybill_producto_stcc_348,33211,Tubo de fundicion de hierro y acero,2021-06-01
waybill_producto_stcc_349,333,Productos de fundicion no ferrosos,2021-06-01
waybill_producto_stcc_350,3331,"Cobre, laton o bronce",2021-06-01
waybill_producto_stcc_351,3332,Productos de fundicion de plomo,2021-06-01
waybill_producto_stcc_352,3333,Productos de fundicion de zinc,2021-06-01
waybill_producto_stcc_353,3334,Productos de fundicion de aluminio,2021-06-01
waybill_producto_stcc_354,335,Formas basicas de metales no ferrosos,2021-06-01
waybill_producto_stcc_355,3351,"Cobre, laton o bronce",2021-06-01
waybill_producto_stcc_356,3352,Aluminio,2021-06-01
waybill_producto_stcc_357,3357,Metal no ferroso y aislado,2021-06-01
waybill_producto_stcc_358,336,Piezas fundidas no ferrosas,2021-06-01
waybill_producto_stcc_359,3361,Aleacion a base de aluminio y alumbre,2021-06-01
waybill_producto_stcc_360,3362,"Laton, bronce, cobre y cba",2021-06-01
waybill_producto_stcc_361,339,Productos varios de metales primarios,2021-06-01
waybill_producto_stcc_362,3391,Forjas de hierro y acero,2021-06-01
waybill_producto_stcc_363,3392,Forjas de metales no ferrosos,2021-06-01
waybill_producto_stcc_364,34,Productos de metal fabricados,2021-06-01
waybill_producto_stcc_365,341,Latas de metal,2021-06-01
waybill_producto_stcc_366,342,"Cubiertos, herramientas manuales y ferreteria",2021-06-01
waybill_producto_stcc_367,343,Fontaneria fxtrs y calefaccion,2021-06-01
waybill_producto_stcc_368,3433,"Equipo de calefaccion, exc electrico",2021-06-01
waybill_producto_stcc_369,344,Prd metal estructural fabricado,2021-06-01
