id,code,name,between,stop_to,grant_receive,concessionaire,start_date
waybill_codigo_derecho_paso_32,CDP033,N-3,Monterrey Carga Km. B-1027+060,Leona Km. B-1009+000,Recibe,"Via ferrea del Noroeste (Actualmente Kansas City Southern de Mexico, S.A de C.V.)",2021-06-01
waybill_codigo_derecho_paso_33,CDP034,N-3,"Monterrey Carga, Km. B-1027+060","Leona, Km. B-1009+000",Otorga," Via ferrea Pacifico-Norte (actualmente Ferrocarril Mexicano, S.A. de C.V.)",2021-06-01
waybill_codigo_derecho_paso_34,CDP035,N-4,Tampico (Km. L-665+000),arbol Grande (Km. L-672+419 = M-4+128)- Do\xc3\xb1a Cecilia (Km. L-674+000),Recibe,"Via ferrea del Noroeste (Actualmente Kansas City Southern de Mexico, S.A de C.V.)",2021-06-01
waybill_codigo_derecho_paso_35,CDP036,N-4,Tampico (Km. L-665+000),arbol Grande (Km. L-672+419 = M-4+128)- Do\xc3\xb1a Cecilia (Km L-674+000),Otorga," Via ferrea Pacifico-Norte (actualmente Ferrocarril Mexicano, S.A. de C.V.)",2021-06-01
waybill_codigo_derecho_paso_36,CDP037,N-5,Ramos Arizpe (Km. B-929+007 = R-424+650),Encantada (Km.B-892+875),Recibe,"Via ferrea del Noroeste (Actualmente Kansas City Southern de Mexico, S.A de C.V.)",2021-06-01
waybill_codigo_derecho_paso_37,CDP038,N-5,Ramos Arizpe Km. B-929+007 = R-424+650,Encantada (Km. B-892+875),Otorga," Via ferrea Pacifico-Norte (actualmente Ferrocarril Mexicano, S.A. de C.V.)",2021-06-01
waybill_codigo_derecho_paso_38,CDP039,N-6,Vias Juarez y Morelos  de la doble via electrificada entre la  La Griega (Km. Morelos -227+438 = B-251+535),Mariscala (Km. B-285+922 = A-263+922),Recibe,"Via ferrea del Noroeste (Actualmente Kansas City Southern de Mexico, S.A de C.V.)",2021-06-01
waybill_codigo_derecho_paso_39,CDP040,N-6,Vias Juarez y  Morelos  de la doble via electrificada entre  La Griega (Km. Morelos -227+438 = B-251+535) ,Mariscala (Km. B-285+922 = A-263+922) ,Otorga," Via ferrea Pacifico-Norte (actualmente Ferrocarril Mexicano, S.A. de C.V.)",2021-06-01
waybill_codigo_derecho_paso_40,CDP041,N-6,Via Juarez del Km. B-265+078.35 = J-240+817.73,Km. B-285 + 861 = JM-262+094.30,Otorga," Via ferrea Pacifico-Norte (actualmente Ferrocarril Mexicano, S.A. de C.V.)",2021-06-01
waybill_codigo_derecho_paso_41,CDP042,N-7,Celaya (Km. NB-68+692),Escobedo (Km. B-315+000),Recibe,"Via ferrea del Noroeste (Actualmente Kansas City Southern de Mexico, S.A de C.V.)",2021-06-01
waybill_codigo_derecho_paso_42,CDP043,N-7,Celaya (Km. NB-68+692 ,Escobedo (Km. B-315+000),Otorga," Via ferrea Pacifico-Norte (actualmente Ferrocarril Mexicano, S.A. de C.V.)",2021-06-01
waybill_codigo_derecho_paso_43,CDP044,N-8,Teotihuacan (Km. VS-0+695),"Empalme Linea ""V"" (Km. 18+781 = VK-24+883)",Otorga," Via ferrea Pacifico-Norte (actualmente Ferrocarril Mexicano, S.A. de C.V.)",2021-06-01
waybill_codigo_derecho_paso_44,CDP045,N-8,Teotihuacan (Km. VS-0+695),"Empalme linea ""V"" (Km. V-18+781 = VK-24+883)",Recibe," Via ferrea del Noreste (actualmente Kansas City Southern de Mexico, S.A. de C.V.)",2021-06-01
waybill_codigo_derecho_paso_45,CDP046,N-9,Buenavista (Km. Juarez 1+000 / Morelos 1+000),Huehuetoca (Juarez -43+724 / Morelos -43+724),Recibe,"Via ferrea del Noroeste (Actualmente Kansas City Southern de Mexico, S.A de C.V.)",2021-06-01
