id,code,code_identification,name,nationality,designer_iata,iron_line,start_date
waybill_complemento_estacion_245,03,EA126,Albuquerque International,Estados Unidos,ABQ,,2021-06-01
waybill_complemento_estacion_246,03,EA127,Atlantic City International,Estados Unidos,ACY,,2021-06-01
waybill_complemento_estacion_247,03,EA128,Addison,Estados Unidos,ADS,,2021-06-01
waybill_complemento_estacion_248,03,EA129,Joint Base Andrews,Estados Unidos,ADW,,2021-06-01
waybill_complemento_estacion_249,03,EA130,Alexandria International,Estados Unidos,AEX,,2021-06-01
waybill_complemento_estacion_250,03,EA131,Fort Worth Alliance,Estados Unidos,AFW,,2021-06-01
waybill_complemento_estacion_251,03,EA132,Albany International,Estados Unidos,ALB,,2021-06-01
waybill_complemento_estacion_252,03,EA133,Waterloo Regional,Estados Unidos,ALO,,2021-06-01
waybill_complemento_estacion_253,03,EA134,Rick Husband Amarillo International,Estados Unidos,AMA,,2021-06-01
waybill_complemento_estacion_254,03,EA135,Anniston Regional,Estados Unidos,ANB,,2021-06-01
waybill_complemento_estacion_255,03,EA136,Ted Stevens,Estados Unidos,ANC,,2021-06-01
waybill_complemento_estacion_256,03,EA137,Talladega Municipal,Estados Unidos,ASN,,2021-06-01
waybill_complemento_estacion_257,03,EA138,Hartsfield - Jackson Atlanta International,Estados Unidos,ATL,,2021-06-01
waybill_complemento_estacion_258,03,EA139,Appleton International,Estados Unidos,ATW,,2021-06-01
waybill_complemento_estacion_259,03,EA140,Augusta State,Estados Unidos,AUG,,2021-06-01
waybill_complemento_estacion_260,03,EA141,Austin-Bergstrom International,Estados Unidos,AUS,,2021-06-01
waybill_complemento_estacion_261,03,EA142,Asheville Regional,Estados Unidos,AVL,,2021-06-01
waybill_complemento_estacion_262,03,EA143,Phoenix-Mesa Gateway,Estados Unidos,AZA,,2021-06-01
waybill_complemento_estacion_263,03,EA144,Kalamazoo/Battle Creek International,Estados Unidos,AZO,,2021-06-01
waybill_complemento_estacion_264,03,EA145,Bradley International,Estados Unidos,BDL,,2021-06-01
waybill_complemento_estacion_265,03,EA146,Laurence G Hanscom,Estados Unidos,BED,,2021-06-01
waybill_complemento_estacion_266,03,EA147,Boeing Field/King County International,Estados Unidos,BFI,,2021-06-01
waybill_complemento_estacion_267,03,EA148,Meadows Field,Estados Unidos,BFL,,2021-06-01
waybill_complemento_estacion_268,03,EA149,Bangor International,Estados Unidos,BGR,,2021-06-01
waybill_complemento_estacion_269,03,EA150,Birmingham-Shuttlesworth,Estados Unidos,BHM,,2021-06-01
waybill_complemento_estacion_270,03,EA151,Biggs,Estados Unidos,BIF,,2021-06-01
waybill_complemento_estacion_271,03,EA152,West Michigan Regional,Estados Unidos,BIV,,2021-06-01
waybill_complemento_estacion_272,03,EA153,Central Il Regional Airport,Estados Unidos,BMI,,2021-06-01
waybill_complemento_estacion_273,03,EA154,Nashville International,Estados Unidos,BNA,,2021-06-01
waybill_complemento_estacion_274,03,EA155,General Edward Lawrence Logan International,Estados Unidos,BOS,,2021-06-01
